City,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points
"BROKEN ARROW, OK",1.0,1,15.1,12.6,2.6,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,1.7
"BETTENDORF, IA",0.0,0,29.0,,,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,1.7
"PHOENIX, AZ",17.9,201,25.3,24.5,0.8,2.0,-20.0,20.8,1.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.7
"RIO RANCHO, NM",4.7,3,7.7,8.9,-1.2,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,1.7
"SCRANTON, PA",13.8,12,23.2,23.4,-0.2,2.0,-20.0,19.8,1.9,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,1.7
"GILBERT, AZ",3.1,5,24.4,30.0,-5.7,,,,,0.01,0.0,0.0,2.0,-0.05,0.05,1.7,1.7
"HIGH POINT, NC",17.6,16,5.3,2.9,2.5,3.0,-15.0,17.5,1.8,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,1.7
"BRIDGEPORT, CT",22.5,27,13.4,12.1,1.3,3.0,-15.0,16.3,2.0,0.01,0.0,0.01,1.0,-0.02,0.03,0.7,1.7
"SCOTTSDALE, AZ",6.6,15,18.5,16.1,2.3,3.0,-15.0,17.3,1.8,0.02,0.01,0.01,2.0,-0.05,0.06,1.3,1.7
"STATE COLLEGE, PA",11.1,3,53.9,41.9,12.0,1.0,-25.0,37.0,1.1,0.13,0.15,-0.02,3.0,-0.6,0.58,3.2,1.6
"OAKLAND, CA",24.6,93,23.8,19.5,4.3,2.0,-20.0,24.3,1.2,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,1.6
"HATTIESBURG, MS",25.9,14,16.5,13.9,2.6,3.0,-15.0,17.6,1.7,0.01,0.01,0.01,2.0,-0.05,0.06,1.3,1.6
"MAPLE GROVE, MN",3.8,2,47.5,9.4,38.1,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.6,1.6
"HAMMOND, IN",20.2,20,28.2,19.1,9.1,1.0,-25.0,34.1,1.4,0.0,0.0,0.0,1.0,-0.02,0.02,2.2,1.6
"TACOMA, WA",16.9,40,30.5,24.0,6.5,1.0,-25.0,31.5,1.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.6
"PLANO, TX",8.0,19,14.4,11.4,2.9,3.0,-15.0,17.9,1.7,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.6
"NEWBURYPORT, MA",6.7,1,22.4,29.3,-7.0,,,,,0.01,0.0,0.0,1.0,-0.02,0.02,1.6,1.6
"COLORADO SPRINGS, CO",11.3,36,22.4,21.3,1.1,2.0,-20.0,21.1,1.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.6
"DOWNERS GROVE, IL",4.8,4,28.4,16.6,11.8,,,,,0.01,0.0,0.0,1.0,-0.02,0.02,1.6,1.6
"SPRINGFIELD, IL",16.3,25,8.8,5.9,2.9,3.0,-15.0,17.9,1.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.6
"OXFORD, MS",16.7,4,30.1,17.6,12.4,1.0,-25.0,37.4,1.1,0.02,0.02,0.0,3.0,-0.6,0.6,3.1,1.6
"COLUMBUS, GA",20.6,26,6.1,3.6,2.4,3.0,-15.0,17.4,1.8,0.0,0.0,0.0,1.0,-0.02,0.02,1.1,1.6
"THORNTON, CO",10.7,13,8.9,5.8,3.1,3.0,-15.0,18.1,1.6,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.6
"PAWTUCKET, RI",16.2,12,13.7,11.1,2.5,3.0,-15.0,17.5,1.7,0.0,0.0,0.0,1.0,-0.02,0.02,1.1,1.6
"KNOXVILLE, TN",13.3,24,7.0,4.0,3.0,3.0,-15.0,18.0,1.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.6
