City,Overall Score,Ridership,Safety,Acceleration,Network,Reach
"OKLAHOMA CITY, OK",1.3,1.5,1.3,0.6,1.4,1.8
"CARMEL, IN",3.0,2.0,2.4,3.1,2.9,1.8
"FAYETTEVILLE, AR",3.1,1.5,2.2,5.0,2.3,1.8
"RACINE, WI",1.6,1.6,2.1,0.4,2.1,1.8
"OVERLAND PARK, KS",1.7,1.8,2.3,0.5,2.1,1.8
"MANCHESTER, NH",1.4,1.4,1.9,0.4,1.3,1.8
"BOSTON, MA",2.7,2.6,2.0,3.4,1.3,1.8
"BETHEL, CT",1.2,1.3,1.5,0.3,1.2,1.8
"FISHERS, IN",1.5,1.5,1.0,,1.6,1.8
"SPRINGFIELD, MA",1.2,0.9,1.2,,0.8,1.8
"MINNEAPOLIS, MN",3.2,2.8,3.0,3.4,2.3,1.8
"SAN JUAN, PR",1.2,0.1,1.2,,1.6,1.8
"ATLANTA, GA",1.5,1.9,1.6,0.6,1.3,1.8
"LOWELL, MA",1.4,1.4,2.2,0.3,1.2,1.8
"KEARNEY, NE",1.7,1.6,2.4,0.4,2.1,1.8
"BLOOMINGTON, MN",1.7,1.7,2.4,0.5,2.1,1.8
"CHANDLER, AZ",1.6,1.8,1.7,0.4,2.1,1.8
"RICHARDSON, TX",1.3,1.4,1.5,0.5,1.3,1.8
"KANSAS CITY, MO",1.5,1.8,1.2,0.6,2.1,1.8
"KENT, WA",1.3,1.0,1.6,,0.8,1.8
"DES MOINES, IA",1.7,1.8,2.0,0.7,2.3,1.8
"NORWALK, CT",1.5,1.0,2.8,1.0,0.8,1.8
"URBANA, IL",1.8,2.2,2.2,0.6,2.2,1.8
"ALMA, MI",1.6,0.9,0.6,,3.2,1.8
"SALEM, OR",1.5,1.7,2.1,0.5,1.3,1.7
"DUBLIN, OH",1.8,1.4,2.3,0.5,2.9,1.7
"MELBOURNE, FL",1.2,1.5,1.0,0.3,1.2,1.7
"LONG BEACH, CA",2.8,1.8,2.9,2.9,2.1,1.7
"OWENSBORO, KY",1.1,1.0,1.0,,0.8,1.7
"NASHVILLE, TN",2.1,1.5,1.6,2.0,1.3,1.7
"WINFIELD, IL",1.5,1.3,2.0,,0.8,1.7
"GREENSBORO, NC",1.3,1.4,1.4,0.5,1.4,1.7
"CASPER, WY",1.5,1.1,1.0,,2.4,1.7
"SALT LAKE CITY, UT",2.0,2.6,1.7,0.6,3.1,1.7
"WEST CHESTER, PA",1.7,1.4,2.3,0.4,2.8,1.7
"NEWPORT NEWS, VA",1.5,1.4,2.0,0.3,2.0,1.7
"COLUMBUS, IN",2.4,1.6,1.8,2.2,2.2,1.7
"RIDGELAND, MS",1.6,1.4,2.2,0.6,2.1,1.7
"TALLAHASSEE, FL",1.4,1.6,1.8,0.5,1.4,1.7
"ROCKVILLE, MD",1.5,1.5,2.3,0.5,1.3,1.7
"WEST HARTFORD, CT",1.5,1.6,2.2,0.5,1.3,1.7
