City,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score
"FREMONT, CA",0.70%,77.5,"230,964",11.50%,5.7,0.3,18.30%,3.1,2.3,1.8
"SHREVEPORT, LA",0.30%,105.4,"196,217",7.80%,2.5,0.1,13.40%,2.2,2.0,1.3
"MARIETTA, GA",0.10%,23.1,"60,203",20.80%,0.4,0.0,15.50%,2.6,2.1,1.5
"CORVALLIS, OR",15.30%,14.1,"56,224",26.30%,48.6,2.4,17.30%,2.9,2.9,2.7
"SAN ANTONIO, TX",0.20%,460.9,"1,461,623",5.70%,4.3,0.2,13.70%,2.3,2.4,1.5
"BANGOR, ME",0.20%,34.3,"32,237",17.20%,1.0,0.0,13.50%,2.3,2.2,1.4
"DELAWARE, OH",0.20%,19.0,"38,193",26.30%,0.6,0.0,17.60%,2.9,,1.2
"LAS VEGAS, NV",0.40%,135.8,"621,662",7.80%,4.7,0.2,15.00%,2.5,2.5,1.6
"BELLA VISTA, AR",0.30%,44.3,"28,092",12.60%,1.7,0.1,13.10%,2.2,2.0,1.3
"STERLING HEIGHTS, MI",0.10%,36.5,"131,996",17.20%,0.4,0.0,17.80%,3.0,2.0,1.6
"SOUTHAVEN, MS",0.10%,41.2,"52,434",12.60%,0.4,0.0,13.00%,2.2,,0.9
"REVERE, MA",0.50%,5.7,"53,864",37.00%,1.1,0.1,16.10%,2.7,,1.1
"MACON, GA",0.10%,,"153,621",,,,12.10%,2.0,1.9,1.2
"EUGENE, OR",7.90%,43.7,"163,135",12.60%,48.1,2.4,17.20%,2.9,3.1,2.7
