City_Alt,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points,BNA,BNA Points,Community Survey Network Score,Total Nework Points,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points,Total Ponts
"ORONO, ME",1.50%,7.1,"9,667",37.00%,3.7,0.2,8.30%,1.4,2.6,1.1,0.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.0,2.4,,2.1,0.4,31.8,2,2.8,2.2,0.0,0,24.6,,,,,,,0.02,0.01,0.02,3.0,-0.6,0.62,3.1,3.1,1.8
"TRAVERSE CITY, MI",4.00%,8.3,"15,550",26.30%,10.9,0.5,14.50%,2.4,2.9,1.8,1.0,0.6,3.0,0.2,7.4,4.0,,,,,,,1.5,2.0,2.9,2.0,,3.8,0.8,56.8,3,3.6,3.1,0.0,0,52.8,,,,,,,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,3.1,2.1
"BEND, OR",3.30%,33.0,"87,167",17.20%,16.5,0.8,16.00%,2.7,2.8,2.0,2.2,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.5,2.3,,3.1,0.6,20.8,2,3.4,2.3,2.2,1,19.4,10.7,8.7,,,,,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,3.1,2.0
"BELLINGHAM, WA",4.10%,27.1,"85,388",20.80%,18.2,0.9,16.40%,2.7,3.0,2.1,2.2,0.3,4.0,0.4,2.8,4.0,,,,,,,2.0,2.0,2.9,2.2,,3.3,0.7,35.0,2,3.6,2.3,2.0,1,32.5,44.8,-12.3,,,,,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,3.1,2.1
"TUSTIN, CA",1.70%,11.1,"80,007",26.30%,4.9,0.2,13.70%,2.3,2.0,1.4,3.6,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3,,1.8,0.4,13.8,1,2.3,1.3,9.1,8,11.1,15.6,-4.5,3.0,-15.0,10.5,3.1,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,3.1,1.7
"GOLDEN, CO",2.30%,9.9,"20,365",26.30%,6.5,0.3,15.70%,2.6,2.9,1.7,1.0,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.9,2.2,,3.1,0.6,20.5,2,3.8,2.4,0.0,0,13.2,,,,,,,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,3.1,2.0
"BROOKINGS, SD",2.20%,12.9,"23,471",26.30%,6.6,0.3,14.20%,2.4,2.5,1.6,0.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.9,2.4,,2.7,0.5,24.1,2,2.9,2.2,7.1,1,17.7,16.5,1.3,,,,,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,3.1,1.9
"FORT COLLINS, CO",7.30%,54.3,"159,150",12.60%,52.2,2.6,17.00%,2.8,3.2,2.8,7.0,0.4,4.0,0.4,0.7,4.0,41.0,2.6,3.0,10.0,18.4,4.0,3.5,4.0,3.4,3.7,2.7,4.2,3.0,55.7,3,4.0,3.2,2.8,3,52.7,31.4,21.3,,,,,0.08,0.06,0.02,3.0,-0.6,0.62,3.1,3.1,3.6
"GRAND FORKS, ND",1.40%,19.9,"56,236",26.30%,5.3,0.3,17.40%,2.9,,1.3,1.2,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,59.2,3,,2.4,6.7,3,58.8,64.9,-6.1,1.0,-25.0,18.9,3.0,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,3.0,2.1
"BRATTLEBORO, VT",1.20%,4.2,"6,934",37.00%,2.7,0.1,13.10%,2.2,2.4,1.4,1.4,2.0,1.0,0.0,0.0,5.0,,,,,,,0.5,2.5,2.5,1.7,,2.2,0.4,34.5,2,2.2,2.0,10.0,1,33.1,32.9,0.2,,,,,0.02,0.0,0.02,3.0,-0.6,0.62,3.0,3.0,1.7
